Row	stim	GroupCount	mean_syl_ons2ons_1	mean_syl_ons2ons_2	std_syl_ons2ons_1	std_syl_ons2ons_2	min_syl_ons2ons_1	min_syl_ons2ons_2	max_syl_ons2ons_1	max_syl_ons2ons_2	range_syl_ons2ons_1	range_syl_ons2ons_2
sooghahtee	sooghahtee	57	0.52609915371035	0.927326840083554	0.0170407009476896	0.0335699084770622	0.496146177698392	0.893070887999784	0.559279510998749	1.0330708879992	0.0631333333003568	0.139999999999418
sooghahvee	sooghahvee	107	0.525666565868611	0.932393004634964	0.0162682418601062	0.0311997248270614	0.49921284429729	0.899932428001193	0.559279510998749	1.01999909459846	0.0600666667014593	0.120066666597268
sooghahvoo	sooghahvoo	40	0.521141672796984	0.908996872264971	0.0159574868945051	0.0262642550740792	0.479246177696041	0.867539215294528	0.559246172597341	0.987572528596502	0.0799999949012999	0.120033313301974
soogheetah	soogheetah	58	0.501421455532951	0.92918123837418	0.0235150042003991	0.0326257740088745	0.472179350399529	0.896054226999695	0.612246017000871	0.996120896998036	0.140066666601342	0.100066669998341
sootahghee	sootahghee	109	0.462987560240169	0.96510796649684	0.0203259949147912	0.032985767086014	0.43608756030153	0.932146017003106	0.565054227001383	1.04811268360208	0.128966666699853	0.115966666598979
sootahvee	sootahvee	42	0.460372560002452	0.930224094005098	0.0141157978107786	0.0249656448410787	0.436087557005521	0.899965764700028	0.496120888703445	0.999999084699084	0.0600333316979231	0.100033319999056
sooteeghah	sooteeghah	164	0.458179063982793	0.989937949584979	0.0166574324521526	0.0307842446486613	0.429970887998934	0.959112844400806	0.493170889698376	1.05924618100107	0.0632000016994425	0.100133336600265
sooteeghee	sooteeghee	37	0.453992792674814	0.958187921586276	0.0138008444799706	0.0270242034488754	0.433104221403482	0.932112683702144	0.493137549703533	1.05211268370476	0.0600333283000509	0.120000000002619
sooteevah	sooteevah	48	0.460839682189467	0.928554199134164	0.0166694483152595	0.0302225796031085	0.433104219700908	0.89694639800291	0.493170888003078	0.997013064697967	0.06006666830217	0.100066666695056
soovahghee	soovahghee	121	0.463135193407477	0.964522570416873	0.016724519053128	0.0310701054563872	0.436979731399333	0.93214601699583	0.497046399694227	1.03221268699417	0.060066668294894	0.100066669998341
soovahtee	soovahtee	45	0.460275079635362	0.918915848160649	0.0156928497349632	0.0278908291692701	0.417013064696221	0.873104221296671	0.497046388001763	0.993170868001471	0.0800333233055426	0.120066646704799
sooveetah	sooveetah	63	0.46619748158305	0.928311753497016	0.0155366462895526	0.0292827678195643	0.439965761295753	0.896054226999695	0.500032428004488	0.996120893702027	0.0600666667087353	0.100066666702332
soovooghee	soovooghee	46	0.447919955925833	0.964170183337353	0.0190914248207902	0.0340886077542243	0.418939215305727	0.932146013597958	0.487605882000935	1.03224601699912	0.0686666666952078	0.100100003401167
soovoovee	soovoovee	58	0.450458755503371	0.931344496843132	0.0196105594606293	0.0326266398625453	0.418939215298451	0.899932428001193	0.487605883696233	0.999999097999535	0.0686666683977819	0.100066669998341
tahgheevoo	tahgheevoo	98	0.501769426919241	0.919298046371723	0.0178826429845879	0.0308279989156264	0.47599179000099	0.88271832169994	0.536091791698709	0.991451654997945	0.0601000016977196	0.108733333298005
tahghoosee	tahghoosee	53	0.51140543092915	0.929535508400923	0.0172226941321531	0.0300505954032401	0.485736246999295	0.897452175297076	0.545769582000503	0.997518842006684	0.0600333350012079	0.100066666709608
tahghoovee	tahghoovee	96	0.511257429053183	0.938407020097027	0.0158190533040071	0.0334660056079444	0.485636248704395	0.903778204301489	0.545769581993227	1.08374486760295	0.0601333332888316	0.179966663301457
tahseeghoo	tahseeghoo	102	0.462519822182145	0.975267931374048	0.0147195258201845	0.0288971264128349	0.437452175305225	0.945636245400237	0.497518841999408	1.0656695820071	0.0600666666941834	0.120033336606866
tahseevee	tahseevee	62	0.463036874735736	0.937816372931776	0.018371698029963	0.0325991169055058	0.43431884200254	0.903811531003157	0.497518843600119	1.02377820100082	0.0632000015975791	0.119966669997666
tahseevoo	tahseevoo	56	0.46286793278943	0.920733753448682	0.0178926495895492	0.0307431047081781	0.437485508700775	0.882784988301864	0.517485508702521	0.991451654997945	0.0800000000017462	0.108666666696081
tahsooghee	tahsooghee	59	0.468480275740468	0.966426313451783	0.017464893313698	0.0308287508727238	0.443779106295551	0.935958453294006	0.503879106297973	1.03609179000341	0.0601000000024214	0.100133336709405
tahsootee	tahsootee	38	0.467141143276826	0.929579818720748	0.0137312546607518	0.0323558278515162	0.443779102999542	0.90691666429484	0.503845767998428	1.07691666099709	0.0600666649988852	0.169999996702245
tahsoovee	tahsoovee	56	0.471668987226918	0.938820462782532	0.0167137021662019	0.0318065599312828	0.443779106397415	0.903778200998204	0.503845774706861	1.00387820099422	0.060066668309446	0.100099999996019
tahteetoo	tahteetoo	49	0.462937749306316	0.936387381319306	0.0169522773545413	0.0313649886767926	0.436949994298629	0.904230922300485	0.497049994301051	1.00433091900049	0.0601000000024214	0.10009999670001
tahvahsoo	tahvahsoo	46	0.467050141865852	0.934198365291569	0.0170098308991753	0.0316503990632198	0.440858836002008	0.90374576960312	0.500892171003215	1.00384577300429	0.0600333350012079	0.100100003401167
tahveetoo	tahveetoo	48	0.468461534197445	0.934955918718723	0.0168718953208487	0.0297393871563268	0.443778199296503	0.904230915599328	0.503878201001498	1.00433091900049	0.0601000017049955	0.100100003401167
tahvooghee	tahvooghee	63	0.456328374415736	0.969039866528804	0.0161812235377375	0.0312555121872658	0.431418321597448	0.935958456604567	0.491451654997945	1.03605845670245	0.0600333334004972	0.100100000097882
tahvoosee	tahvoosee	118	0.454592172143628	0.930335073681382	0.018907140432746	0.0331580723151275	0.402884988303413	0.877485508593963	0.491451656700519	1.03741884200281	0.0885666683971067	0.159933333408844
tahvoosoo	tahvoosoo	41	0.4507898660563	0.928895344966944	0.0151918834064367	0.0256521421894522	0.4228183216037	0.903745772993716	0.491451644993504	1.00384576299984	0.068633323389804	0.100099990006129
tahvoovah	tahvoovah	53	0.452528384434126	0.933238711622886	0.0190176892807451	0.0322630829440375	0.408551655003976	0.900758837597095	0.491451655005221	1.00085883770225	0.0829000000012456	0.100100000105158
teeghahsoo	teeghahsoo	115	0.532185408608397	0.940978661308953	0.0169775621876658	0.0307188116134835	0.486041956399276	0.886729111996829	0.566108623002947	1.0068291120042	0.0800666666036705	0.120100000007369
teeghahtoo	teeghahtoo	35	0.528728230806283	0.939746549572419	0.0121373391642069	0.0434058921848641	0.506008623000525	0.907180924696149	0.566075284703402	1.1472475913979	0.0600666617028764	0.24006666670175
teeghahvoo	teeghahvoo	48	0.532767488106933	0.922747493725581	0.0165333994411431	0.0337134587292208	0.506075289697037	0.885768323998491	0.566108623002947	0.994401660696894	0.0600333333059098	0.108633336698404
teegheetoo	teegheetoo	39	0.504328832333259	0.934671400099926	0.0148237959245361	0.0253715987512489	0.479041797298123	0.907214257997111	0.539075123997463	1.00728091470228	0.0600333266993403	0.100066656705167
teeghoosah	teeghoosah	94	0.513289152669813	0.929322508629002	0.0167166343790106	0.0288712061962335	0.488686254298955	0.89098624199687	0.548752911003248	1.00101957870356	0.0600666567042936	0.110033336706692
teeghoovah	teeghoovah	51	0.513742254193949	0.934475509735082	0.0184170611118257	0.0320074437500782	0.468752920998668	0.883775510003034	0.548752921000414	1.00384217670216	0.0800000000017462	0.120066666699131
teeghoovoo	teeghoovoo	59	0.514997587590387	0.927818667393142	0.0179083630901806	0.0356909202383065	0.488419585999509	0.885768327301776	0.548752921000414	0.994434993997857	0.0603333350009052	0.108666666696081
teesahghoo	teesahghoo	96	0.466083814657168	0.976436254096598	0.0165817865920622	0.0273919320127765	0.420986245298991	0.928652921000321	0.501052911997249	1.04871958769945	0.0800666666982579	0.120066666699131
